generics,product_name,dosage_form,strength,company,unit_price,strip_price,pack_size,pack_type
cephalexin,Acelex,Powder for Suspension,125 mg/5 ml,ACME Laboratories Ltd.,77.5,,100 ml,bottle
cephalexin,Acelex,Capsule,250 mg,ACME Laboratories Ltd.,6.6,330.0,5 x 10 pcs,strip
cephalexin,Acelex,Capsule,500 mg,ACME Laboratories Ltd.,12.5,500.0,4 x 10 pcs,strip
cephalexin,Cefalex,Powder for Suspension,125 mg/5 ml,Drug International Ltd.,81.0,,100 ml,bottle
cephalexin,Cefalex,Capsule,500 mg,Drug International Ltd.,12.6,630.0,5 x 10 pcs,strip
cephalexin,Cephalen,Capsule,500 mg,Beximco Pharmaceuticals Ltd.,13.29,664.5,5 x 10 pcs,strip
cephalexin,Cephalen,Capsule,250 mg,Beximco Pharmaceuticals Ltd.,6.88,688.0,10 x 10 pcs,strip
cephalexin,Cephalen,Powder for Suspension,125 mg/5 ml,Beximco Pharmaceuticals Ltd.,84.27,,100 ml,bottle
cephalexin,Cephalor,Capsule,250 mg,Skylab Pharmaceuticals Ltd.,6.78,678.0,100's,pack
cephalexin,Cephalor,Powder for Suspension,125 mg/5 ml,Skylab Pharmaceuticals Ltd.,81.5,,100 ml,bottle
cephalexin,Cephaxin,Capsule,500 mg,Pharmadesh Laboratories Ltd.,10.53,210.6,20's,pack
cephalexin,Cephaxin,Powder for Suspension,125 mg/5 ml,Pharmadesh Laboratories Ltd.,72.27,,100 ml,bottle
cephalexin,Ceporal,Capsule,250 mg,Medimet Pharmaceuticals Ltd.,5.5,220.0,40's,pack
cephalexin,Ceporal,Capsule,500 mg,Medimet Pharmaceuticals Ltd.,10.0,200.0,20's,pack
cephalexin,Ceporal,Powder for Suspension,125 mg/5 ml,Medimet Pharmaceuticals Ltd.,78.0,,100 ml,bottle
cephalexin,Edicef,Powder for Suspension,125 mg/5 ml,Edruc Limited,77.0,,100 ml,bottle
cephalexin,Edicef,Capsule,250 mg,Edruc Limited,6.5,325.0,50's,pack
cephalexin,G-Cephalexin,Powder for Suspension,125 mg/5 ml,Gonoshasthaya Pharma Ltd.,75.0,,100 ml,bottle
